filename          , health_status
20230702154058.jpg, healthy
20230709141928.jpg, unhealthy
20230623155739.jpg, healthy
20230702143915.jpg, healthy
20230623154427.jpg, healthy
20230622110117.jpg, unhealthy
20230702153546.jpg, unhealthy
20230622105718.jpg, unhealthy
20230622105056.jpg, unhealthy
20230623155414.jpg, unhealthy
20230623154722.jpg, healthy
20230702145913.jpg, healthy
20230702152512.jpg, unhealthy
20230702150846.jpg, unhealthy
20230702154412.jpg, unhealthy
20230702153355.jpg, unhealthy
20230702151542.jpg, healthy
20230702151556.jpg, healthy
20230702150648.jpg, healthy
20230702152739.jpg, healthy
20230702153427.jpg, unhealthy
20230623153514.jpg, healthy
20230702150853.jpg, unhealthy
20230702145709.jpg, unhealthy
20230702153157.jpg, unhealthy
20230623153851.jpg, unhealthy
20230702145325.jpg, unhealthy
20230702153553.jpg, unhealthy
20230622105527.jpg, unhealthy
20230623154333.jpg, unhealthy
20230622104605.jpg, unhealthy
20230622104613.jpg, unhealthy
20230622104149.jpg, healthy
20230702153223.jpg, unhealthy
20230702154202.jpg, healthy
20230702151811.jpg, unhealthy
20230702154000.jpg, unhealthy
20230622105647.jpg, unhealthy
20230702150306.jpg, unhealthy
20230623153933.jpg, healthy
20230623155601.jpg, healthy
20230622105451.jpg, healthy
20230702145521.jpg, healthy
20230702144602.jpg, healthy
20230622104941.jpg, healthy
20230709142101.jpg, unhealthy
20230709143551.jpg, healthy
20230622105322.jpg, unhealthy
20230623154536.jpg, healthy
20230623161002.jpg, healthy
20230622111155.jpg, healthy
20230622105120.jpg, healthy
20230622104216.jpg, healthy
20230702151623.jpg, unhealthy
20230702154029.jpg, unhealthy
20230702153949.jpg, unhealthy
20230709143343.jpg, unhealthy
20230622104158.jpg, healthy
20230702144000.jpg, unhealthy
20230702150713.jpg, unhealthy
20230622104831.jpg, healthy
20230702144014.jpg, healthy
20230623153842.jpg, unhealthy
20230709142529.jpg, healthy
20230709143031.jpg, unhealthy
20230702151753.jpg, unhealthy
20230622110059.jpg, healthy
20230623155610.jpg, healthy
20230702144612.jpg, unhealthy
20230623161238.jpg, unhealthy
20230702145530.jpg, unhealthy
20230623161205.jpg, unhealthy
20230622105333.jpg, healthy
20230702150458.jpg, healthy
20230623153923.jpg, unhealthy
20230622105657.jpg, unhealthy
20230622104549.jpg, healthy
20230702145647.jpg, unhealthy
20230709143839.jpg, healthy
20230702152139.jpg, unhealthy
20230622104818.jpg, healthy
20230702154212.jpg, healthy
20230623154453.jpg, healthy
20230702150909.jpg, unhealthy
20230623154445.jpg, healthy
20230702151340.jpg, healthy
20230622110304.jpg, healthy
20230623155405.jpg, healthy
20230623161039.jpg, healthy
20230709143754.jpg, unhealthy
20230623155820.jpg, unhealthy
20230702154402.jpg, unhealthy
20230623161213.jpg, healthy
20230702152729.jpg, healthy
20230702145240.jpg, unhealthy
20230623153505.jpg, healthy
20230623161010.jpg, healthy
20230702153146.jpg, healthy
20230702153608.jpg, healthy
20230623153707.jpg, healthy
20230623154732.jpg, healthy
20230709143153.jpg, healthy
20230702152310.jpg, healthy
20230702145446.jpg, healthy
20230702153230.jpg, unhealthy
20230702150705.jpg, healthy
20230622110107.jpg, healthy
